return_id,order_id,product_id,return_date,return_reason,refund_amount
R00463,ORD005982,P0155,2026-05-25,地址错误,219.19
R00464,ORD007782,P0193,2026-06-12,商品破损,64.24
R00465,ORD000079,P0165,2026-05-14,地址错误,298.06
R00466,ORD002876,P0009,2026-05-08,客户拒收,15.72
R00467,ORD005319,P0048,2026-04-27,配送超时,40.72
R00468,ORD002381,P0017,2026-04-09,配送超时,207.9
R00469,ORD002936,P0198,2026-05-03,客户拒收,739.56
R00470,ORD005272,P0179,2026-04-16,配送超时,165.92
R00471,ORD000179,P0180,2026-04-19,配送超时,117.16
R00472,ORD002584,P0181,2026-05-19,客户拒收,50.71
R00473,ORD006735,P0081,2026-05-18,质量问题,15.47
R00474,ORD000117,P0029,2026-06-15,配送超时,83.16
R00475,ORD000600,P0122,2026-04-18,客户拒收,43.6
R00476,ORD005484,P0010,2026-05-23,配送超时,711.24
R00477,ORD004391,P0042,2026-03-31,质量问题,33.91
R00478,ORD006928,P0030,2026-05-12,配送超时,239.81
R00479,ORD002006,P0029,2026-05-02,商品破损,57.81
R00480,ORD002939,P0189,2026-05-16,质量问题,30.71
R00481,ORD000876,P0040,2026-05-14,地址错误,208.42
R00482,ORD007750,P0026,2026-05-27,地址错误,155.79
R00483,ORD003785,P0076,2026-04-10,配送超时,36.43
R00484,ORD002220,P0181,2026-06-04,配送超时,27.46
R00485,ORD001429,P0164,2026-05-08,配送超时,124.3
R00486,ORD003331,P0156,2026-03-24,质量问题,13.8
R00487,ORD003012,P0086,2026-05-13,配送超时,292.4
R00488,ORD000768,P0161,2026-04-27,配送超时,8.94
R00489,ORD007755,P0064,2026-04-20,配送超时,11.54
R00490,ORD004877,P0200,2026-04-24,商品破损,197.64
R00491,ORD000846,P0180,2026-06-12,地址错误,36.9
R00492,ORD006531,P0183,2026-04-03,地址错误,182.9
R00493,ORD006557,P0010,2026-04-03,客户拒收,269.93
R00494,ORD004923,P0029,2026-05-26,配送超时,30.94
R00495,ORD005343,P0119,2026-05-05,配送超时,400.38
R00496,ORD003436,P0162,2026-06-10,配送超时,35.69
R00497,ORD004093,P0024,2026-05-12,配送超时,207.8
R00498,ORD000384,P0017,2026-04-02,客户拒收,224.16
R00499,ORD003242,P0161,2026-06-04,客户拒收,76.48
R00500,ORD004277,P0184,2026-04-28,客户拒收,210.4
